Date,Original_Close,Processed_Close,Return_1D,Return_5D,Difference
2010-01-04,30.840049743652344,,,,
2010-01-05,30.223255157470703,,,,
2010-01-06,30.037113189697266,,,,
2010-01-07,30.0006160736084,,,,
2010-01-08,30.09550666809082,,,,
2010-01-11,29.909372329711918,29.909372329711918,-0.006184788328426949,-0.030177558780753344,0.0
2010-01-12,29.756088256835938,29.756088256835938,-0.005124951175378145,-0.01545720003357376,0.0
2010-01-13,30.07361221313477,30.07361221313477,0.01067089039251945,0.0012151308685024453,0.0
2010-01-14,29.83638572692871,29.83638572692871,-0.00788819395970164,-0.00547423247165113,0.0
2010-01-15,29.19403076171875,29.19403076171875,-0.021529248585568705,-0.029953837172905007,0.0
2010-01-18,29.449512481689453,29.449512481689453,0.008751162936558643,-0.015375108609873456,0.0
2010-01-19,29.945880889892575,29.945880889892575,0.016854893897199297,0.006378279006920007,0.0
2010-01-20,29.19768524169922,29.19768524169922,-0.024984927006969082,-0.029126097830475595,0.0
2010-01-21,28.72687339782715,28.72687339782715,-0.016124971550815714,-0.0371865526627837,0.0
2010-01-22,28.74146842956543,28.74146842956543,0.0005080619647033213,-0.015501878991877716,0.0
2010-01-25,28.19036102294922,28.19036102294922,-0.019174643354314624,-0.042756275151350165,0.0
2010-01-26,28.54438781738281,28.54438781738281,0.012558434216056513,-0.04680086311913445,0.0
2010-01-27,28.21226119995117,28.21226119995117,-0.011635443701104142,-0.03375007414425779,0.0
2010-01-28,27.526121139526367,27.526121139526367,-0.024320633343136278,-0.04179891913999956,0.0
2010-01-29,28.099124908447266,28.099124908447266,0.020816727718969696,-0.02234901541973433,0.0
2010-02-01,28.650230407714844,28.650230407714844,0.019612906133667618,0.016313000900955332,0.0
2010-02-02,29.080890655517575,29.080890655517575,0.015031650415166187,0.018795387785757622,0.0
2010-02-03,28.8144645690918,28.8144645690918,-0.009161551810147994,0.021345448522278376,0.0
2010-02-04,28.21226119995117,28.21226119995117,-0.020899342678974975,0.024926870623973585,0.0
2010-02-05,27.67940330505371,27.67940330505371,-0.018887457872337476,-0.014937177038825689,0.0
2010-02-08,28.540735244750977,28.540735244750977,0.031118154181452473,-0.003821789961395261,0.0
2010-02-09,28.361906051635746,28.361906051635746,-0.006265752846998596,-0.0247236101671946,0.0
2010-02-10,28.507888793945312,28.507888793945312,0.005147141452474635,-0.010639648514425004,0.0
2010-02-11,28.540735244750977,28.540735244750977,0.0011521881203857554,0.01164295348294786,0.0
2010-02-12,28.781612396240234,28.781612396240234,0.008439766860370401,0.039820551008239446,0.0
2010-02-15,29.153888702392575,29.153888702392575,0.012934518783283,0.021483449966635426,0.0
2010-02-16,30.05171585083008,30.05171585083008,0.030796136927140783,0.05958026220515178,0.0
2010-02-17,30.672163009643555,30.672163009643555,0.020645981144412184,0.07591843195901293,0.0
2010-02-18,30.79624938964844,30.79624938964844,0.004045569918426528,0.07902789208320349,0.0
2010-02-19,31.186777114868164,31.186777114868164,0.012681015804183904,0.08356601727226787,0.0
2010-02-22,30.759763717651367,30.759763717651367,-0.013692129701123212,0.05508270377416258,0.0
2010-02-23,30.6867618560791,30.6867618560791,-0.002373290713230447,0.021131771922816123,0.0
2010-02-24,30.82180595397949,30.82180595397949,0.004400728188061809,0.004878786810336377,0.0
2010-02-25,30.31084632873535,30.31084632873535,-0.016577861336453115,-0.015761758997712483,0.0
2010-02-26,32.01160430908203,32.01160430908203,0.05611054082426992,0.02644797797399323,0.0
2010-03-01,32.47146987915039,32.47146987915039,0.014365589603951623,0.05564757184778912,0.0
2010-03-02,32.48607635498047,32.48607635498047,0.00044982490427569743,0.05863487673740719,0.0
2010-03-03,32.46052169799805,32.46052169799805,-0.0007866341476016059,0.05316741486418253,0.0
2010-03-04,32.27803421020508,32.27803421020508,-0.005621828555029795,0.06490046038750119,0.0
2010-03-05,32.84739303588867,32.84739303588867,0.01763920386154072,0.026108929709890205,0.0
2010-03-08,32.394832611083984,32.394832611083984,-0.013777666444037884,-0.0023601416366930694,0.0
2010-03-09,32.47146987915039,32.47146987915039,0.002365725082962289,-0.0004496226528089009,0.0
2010-03-10,32.59921646118164,32.59921646118164,0.003934117627156564,0.004272721322040374,0.0
2010-03-11,32.44227600097656,32.44227600097656,-0.004814240256110436,0.005088345520110948,0.0
2010-03-12,32.31088638305664,32.31088638305664,-0.004049950685209858,-0.016333309990410827,0.0
2010-03-15,32.11745071411133,32.11745071411133,-0.005986702644182107,-0.008562535275386751,0.0
2010-03-16,32.37294006347656,32.37294006347656,0.007954845222288398,-0.003034350340176406,0.0
2010-03-17,32.482425689697266,32.482425689697266,0.0033820105929835975,-0.0035826251107429208,0.0
2010-03-18,32.070011138916016,32.070011138916016,-0.012696544116533093,-0.011474683898544669,0.0
2010-03-19,31.85102081298828,31.85102081298828,-0.006828507947164275,-0.014232527223688507,0.0
2010-03-22,32.1904411315918,32.1904411315918,0.01065649734105567,0.0022726093091940403,0.0
2010-03-23,32.14665222167969,32.14665222167969,-0.0013603078545305625,-0.006990030604361874,0.0
2010-03-24,31.821823120117188,31.821823120117188,-0.010104601229469101,-0.02033723022691647,0.0
2010-03-25,32.21599197387695,32.21599197387695,0.01238674642467541,0.00455194213461918,0.0
2010-03-26,32.08460235595703,32.08460235595703,-0.0040783974004731105,0.007333565361694827,0.0
2010-03-29,32.044456481933594,32.044456481933594,-0.0012512504776605038,-0.004535031037985138,0.0
2010-03-30,32.15030288696289,32.15030288696289,0.003303111260101188,0.00011356284499020042,0.0
2010-03-31,32.43861770629883,32.43861770629883,0.008967717049186863,0.019382754528344925,0.0
2010-04-01,32.781700134277344,32.781700134277344,0.010576357817857929,0.01755985539290883,0.0
2010-04-06,32.9495849609375,32.9495849609375,0.005121297125300961,0.02695943042659743,0.0
2010-04-07,32.59921646118164,32.59921646118164,-0.010633472323588578,0.017312198119534772,0.0
2010-04-08,32.153953552246094,32.153953552246094,-0.013658699725674572,0.00011354994993473255,0.0
2010-04-09,32.49337387084961,32.49337387084961,0.010556099051769907,0.0016879931520679126,0.0
2010-04-12,32.38022994995117,32.38022994995117,-0.0034820613380484033,-0.012246777399637865,0.0
2010-04-13,32.1904411315918,32.1904411315918,-0.005861256039649043,-0.023039556651341275,0.0
2010-04-14,32.19774627685547,32.19774627685547,0.0002269352331585317,-0.012315332327212047,0.0
2010-04-15,32.31088638305664,32.31088638305664,0.0035139138382023205,0.004880669823558392,0.0
2010-04-16,31.555395126342773,31.555395126342773,-0.02338194154617923,-0.028866769829288597,0.0
2010-04-19,31.602840423583984,31.602840423583984,0.0015035557961244894,-0.024008153356809614,0.0
2010-04-20,32.015262603759766,32.015262603759766,0.013050161778116909,-0.005441942442351633,0.0
2010-04-21,32.132049560546875,32.132049560546875,0.003647852533103846,-0.002040413504215244,0.0
2010-04-22,32.153953552246094,32.153953552246094,0.0006816867270773574,-0.004856964583083712,0.0
2010-04-23,32.25249099731445,32.25249099731445,0.0030645514526930207,0.02209117864569965,0.0
2010-04-26,32.796295166015625,32.796295166015625,0.01686084243063446,0.03776416063984578,0.0
2010-04-27,31.85102081298828,31.85102081298828,-0.028822595608508306,-0.005130109123396509,0.0
