Epoch,Train_Loss,Val_Loss,Test_Loss
1,0.07757122530823662,0.3760881457063887,0.7525588174661001
2,0.052887534722685814,0.2824522571431266,0.6152227587170072
3,0.019790670191425653,0.12204273210631476,0.34774559073978
4,0.01274022382373611,0.11724313100179036,0.3264934370915095
5,0.011678423089463087,0.096381776034832,0.26710283093982273
6,0.01009229006290081,0.07073476331101523,0.1805997755792406
7,0.007478142966560665,0.010283848374254174,0.018520701883567706
8,0.0036422836793852703,0.015541786741879251,0.012462119261423746
9,0.002916317483011101,0.0063837147576527465,0.0028483387108685244
10,0.0026860597704182424,0.0029205786736889016,0.004634232746967528
11,0.002460828682939921,0.0037116018744806447,0.008962991197929822
12,0.002296418464365637,0.0015035256898651521,0.019706463046734117
13,0.00218706655072137,0.0011206101464469815,0.03931146322025193
14,0.0018550740482862153,0.001424298125332118,0.046499666292220354
15,0.0019032454556075944,0.0022241063286653822,0.056283691018405885
16,0.0018104917946315947,0.0031365531871819664,0.06548345394225584
17,0.0016780797464196525,0.00530692667234689,0.07826795542819633
18,0.0017769588739611208,0.007949470878682204,0.08767241094675329
19,0.001700232297437088,0.005503042685126679,0.0816276849557956
20,0.0016784427349366957,0.006702798535116017,0.08472035049150388
21,0.001650943598222165,0.0070571751954654855,0.08735532613678111
22,0.0015715984613745519,0.007046454728374051,0.0863322891915838
23,0.001576194690728915,0.007924397062096331,0.09173134652276833
24,0.0014944976192921224,0.008294321958803468,0.09315242887371117
25,0.0015662736702887784,0.005719655038168033,0.08265483493192329
26,0.0014872459744635438,0.006433006156132453,0.08501915923423237
27,0.0014592471804159384,0.007270075613632798,0.08828203173147307
28,0.0014933252601795608,0.007178285534286665,0.08803303870889875
