Date,Close,High,Low,Open,Volume,Return_1D,Return_5D
2010-01-11,29.909372329711918,30.453179148641496,29.83637832600033,30.32178939967764,969440,-0.006184788328426949,-0.030177558780753344
2010-01-12,29.756088256835938,30.04806430174502,29.54075578814472,29.97871985550835,1310825,-0.005124951175378145,-0.01545720003357376
2010-01-13,30.07361221313477,30.20865153273723,29.756086520405557,29.77433434429369,2234822,0.01067089039251945,0.0012151308685024453
2010-01-14,29.83638572692871,30.42399017840679,29.79624050620756,30.31084822445216,2216013,-0.00788819395970164,-0.00547423247165113
2010-01-15,29.19403076171875,30.09915804112281,29.13198545140393,29.88382559304905,1937425,-0.021529248585568705,-0.029953837172905007
2010-01-18,29.449512481689453,29.59185093204711,29.274325236641094,29.38016803891482,812978,0.008751162936558643,-0.015375108609873456
2010-01-19,29.945880889892575,30.05537057705579,29.20863876095227,29.416672149119908,1067177,0.016854893897199297,0.006378279006920007
2010-01-20,29.19768524169922,29.763389547634432,29.06994503492375,29.73419302558998,1488823,-0.024984927006969082,-0.029126097830475595
2010-01-21,28.72687339782715,29.657550531957984,28.697676874711465,29.489662389796003,1631534,-0.016124971550815714,-0.0371865526627837
2010-01-22,28.74146842956543,28.920305247799025,28.4348941256396,28.631978768769898,1748555,0.0005080619647033213,-0.015501878991877716
2010-01-25,28.19036102294922,28.599128548777333,28.15021581017503,28.53708323580207,1783277,-0.019174643354314624,-0.042756275151350165
2010-01-26,28.54438781738281,28.595484445724587,27.74145087155604,28.011532275243784,1847262,0.012558434216056513,-0.04680086311913445
2010-01-27,28.21226119995117,28.52248779548716,27.96043306977946,28.259708258425007,1564164,-0.011635443701104142,-0.03375007414425779
2010-01-28,27.526121139526367,28.686729177556604,27.526121139526367,28.5188437250954,2145366,-0.024320633343136278,-0.04179891913999956
2010-01-29,28.099124908447266,28.296209581863508,27.67210676033756,27.675759037293435,1785631,0.020816727718969696,-0.02234901541973433
2010-02-01,28.650230407714844,28.712275732038687,27.916637923639893,28.07722693835512,1713206,0.019612906133667618,0.016313000900955332
2010-02-02,29.080890655517575,29.102790756150576,28.365548826917724,28.79986331489512,1855473,0.015031650415166187,0.018795387785757622
2010-02-03,28.8144645690918,29.270679205117062,28.63928001431195,29.197685188722883,1654456,-0.009161551810147994,0.021345448522278376
2010-02-04,28.21226119995117,28.88380830323991,28.19036380900113,28.715922883125437,1748952,-0.020899342678974975,0.024926870623973585
